parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 13 | 5 | (9.0-4.0)=x | 9.0 4.0 - x = | 9.0:card 4.0:card -:card x:card =:card
EXPR: 1 | POS | INT | 0 | 13 | 13 | x=(9.0+4.0) | x 9.0 4.0 + = | x:card 9.0:card 4.0:card +:card =:card
EXPR: 0 | POS | INT | 0 | 13 | 5 | x=(9.0-4.0) | x 9.0 4.0 - = | x:card 9.0:card 4.0:card -:card =:card
EXPR: 1 | POS | INT | 0 | 13 | 13 | (9.0+4.0)=x | 9.0 4.0 + x = | 9.0:card 4.0:card +:card x:card =:card
EXPR: 0 | POS | INT | 2 | 13 | 5 | 9.0=(4.0+x) | 9.0 4.0 x + = | 9.0:card 4.0:card x:card +:card =:card
EXPR: 1 | POS | INT | 2 | 13 | 13 | (x-9.0)=4.0 | x 9.0 - 4.0 = | x:card 9.0:card -:card 4.0:card =:card
EXPR: 0 | POS | INT | 2 | 13 | 5 | 9.0=(x+4.0) | 9.0 x 4.0 + = | 9.0:card x:card 4.0:card +:card =:card
EXPR: 0 | POS | INT | 2 | 13 | 5 | (9.0-x)=4.0 | 9.0 x - 4.0 = | 9.0:card x:card -:card 4.0:card =:card
EXPR: 1 | POS | INT | 2 | 13 | 13 | 9.0=(x-4.0) | 9.0 x 4.0 - = | 9.0:card x:card 4.0:card -:card =:card
EXPR: 0 | POS | INT | 12 | 13 | 5 | (x+4.0)=9.0 | x 4.0 + 9.0 = | x:card 4.0:card +:card 9.0:card =:card
EXPR: 1 | POS | INT | 12 | 13 | 13 | (x-4.0)=9.0 | x 4.0 - 9.0 = | x:card 4.0:card -:card 9.0:card =:card
EXPR: 0 | POS | INT | 12 | 13 | 5 | (4.0+x)=9.0 | 4.0 x + 9.0 = | 4.0:card x:card +:card 9.0:card =:card
EXPR: 1 | POS | INT | 12 | 13 | 13 | 4.0=(x-9.0) | 4.0 x 9.0 - = | 4.0:card x:card 9.0:card -:card =:card
EXPR: 0 | POS | INT | 12 | 13 | 5 | 4.0=(9.0-x) | 4.0 9.0 x - = | 4.0:card 9.0:card x:card -:card =:card
NET 14 unique, non-negative, integer-valued solutions found out of 28 total solutions
